"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Magi2",5.39674293221194e-316,5.49478142668153,1,0.636,1.62145141398308e-311
"Ptpro",1.09835605669029e-227,10.5868282718274,0.975,0.006,3.30001077232597e-223
"Pard3b",1.20599394749417e-214,3.77510830181684,0.988,0.611,3.62340881524622e-210
"Dpp4",1.30193193832962e-196,4.04197731520101,0.988,0.289,3.91165450871134e-192
"Nebl",2.79861003917684e-194,9.85880579110423,0.963,0.005,8.40842386270682e-190
"Podxl",1.62686247015517e-190,7.50287505126715,1,0.025,4.88790829158121e-186
"Zfp385b",2.51741722121874e-189,4.94431024707488,0.975,0.15,7.5635800411517e-185
"Srgap1",1.1309855425013e-188,7.43994720489515,1,0.026,3.39804606244516e-184
"Man1a2",8.88337621816088e-187,3.89659848583467,0.963,0.288,2.66901038474644e-182
"Wt1",3.26668201376505e-180,10.1637781394363,0.901,0.003,9.8147461103571e-176
"Nphs1",1.99252233522431e-179,10.3206611654198,0.901,0.002,5.98653335618145e-175
"Thsd7a",1.15676691159939e-175,6.90810838167316,0.988,0.042,3.47550618590036e-171
"Sema3e",2.35692717630919e-174,9.99061478965329,0.901,0.003,7.08138770122096e-170
"Arhgap28",9.01917848435712e-167,7.49631206200911,0.975,0.015,2.7098121756251e-162
"Sgip1",5.90667058342324e-162,8.5265922557937,0.914,0.006,1.77465917678951e-157
"Nphs2",1.50936496907285e-154,9.67374658325589,0.827,0.003,4.53488704957939e-150
"Gabrb1",1.52392434226479e-151,9.48615867777782,0.815,0.004,4.57863068633456e-147
"Wt1os",2.305127733655e-144,10.5317475140141,0.753,0.001,6.92575627576644e-140
"Plce1",8.37546282919917e-139,6.47821734072689,0.901,0.029,2.51640780703289e-134
"Myom2",2.95237613190844e-136,11.3857735576908,0.691,0.001,8.8704140883189e-132
"Synpo",5.18076183478487e-135,7.61234889185336,0.84,0.01,1.55655989326111e-130
"Tmod3",2.35498832682713e-131,5.1550483145147,0.864,0.09,7.0755624279521e-127
"Ptchd4",6.59974055157592e-129,9.0091616038161,0.741,0.002,1.98289204872099e-124
"Cdc14a",2.08385647417882e-127,5.31727549886297,0.901,0.068,6.26094677667026e-123
"Mertk",6.12485755247705e-123,2.97294257572975,1,0.532,1.84021345164173e-118
"Kcnq1ot1",8.60263258229441e-114,2.81338488350119,0.975,0.609,2.58466095935035e-109
"Gm29266",1.39721727347344e-112,6.67741630917729,0.815,0.016,4.19793929815094e-108
"Sncaip",6.50100262554548e-111,6.24185944210723,0.864,0.018,1.95322623884514e-106
"Enpep",2.20877606560547e-107,4.30605997186008,0.901,0.119,6.63626768911164e-103
"Robo2",1.55736555802438e-106,4.84937557405299,0.988,0.06,4.67910481908425e-102
"Lmx1b",1.73606514995869e-105,10.415643100693,0.556,0,5.21600774305087e-101
"Dock5",9.29834583243868e-105,3.50551516075414,0.901,0.23,2.7936880053562e-100
"Vegfa",1.5160023046014e-102,2.98714890342756,0.926,0.328,4.5548289241749e-98
"Iqgap2",5.61925569056012e-102,3.4954130878869,0.951,0.257,1.68830537222879e-97
"Dach1",1.36146976399928e-98,3.30127685545293,0.988,0.548,4.09053590593583e-94
"Tmem150c",1.20884260304054e-97,6.37239647739448,0.741,0.02,3.63196760083529e-93
"Ntrk3",5.07150835421808e-97,6.71743250436551,0.691,0.007,1.52373468502482e-92
"Fryl",3.21805407556647e-94,2.94761392398188,0.914,0.353,9.66864347003946e-90
"Foxd2os",1.31983210871137e-93,7.5246325336778,0.63,0.004,3.9654355706233e-89
"Mgat5",1.54483485790697e-93,2.87076309279226,0.901,0.386,4.64145633058148e-89
"Tdrd5",1.41886489408783e-92,8.01847457773552,0.556,0.006,4.26297957428688e-88
"H2-Q7",5.63881868961177e-92,6.59461028610211,0.704,0.014,1.69418307529386e-87
"Mafb",4.86830669252311e-91,6.40079690183486,0.691,0.014,1.46268274576857e-86
"Astn2",1.03683113561888e-90,5.33373037214571,0.84,0.031,3.11515914696693e-86
"Tjp1",4.15351801856561e-90,3.60995266875688,0.889,0.215,1.24792448867804e-85
"Sema3g",7.21866620888972e-86,8.3715786958319,0.543,0.003,2.16884826246092e-81
"Clic5",1.75152875530024e-85,4.14784281016803,0.84,0.112,5.26246814529957e-81
"Aopep",2.58883592398825e-85,2.40299898935144,0.988,0.58,7.77815753362271e-81
"Ephb1",4.98870975173561e-85,6.28966246895469,0.679,0.013,1.49885784490896e-80
"Aff3",1.07615729899305e-83,5.40696787366999,0.691,0.013,3.23331460482461e-79
"C1qtnf7",1.16626884436118e-83,5.8446165276496,0.741,0.021,3.50405474288317e-79
"Cldn5",1.26668670112682e-83,8.76141991632415,0.494,0.001,3.80576019353554e-79
"Wipf3",1.30107538724242e-82,6.68293165427346,0.58,0.013,3.90908100096984e-78
"St6galnac3",5.5139485247791e-82,4.52190449840618,0.864,0.078,1.65666583426988e-77
"Dock4",3.77370837848449e-81,2.79341800752151,0.975,0.42,1.13381068231566e-76
"Chst1",1.79418565046511e-80,7.3597124542008,0.568,0.005,5.39063078682242e-76
"Cdkn1c",3.64029425572118e-80,7.2920335961904,0.568,0.006,1.09372640913143e-75
"Zbtb7c",4.59649705424526e-80,4.87338421305476,0.815,0.04,1.38101753994799e-75
"Prkg1",6.1955636655198e-80,3.67379992433976,0.975,0.095,1.86145710330542e-75
"Ddn",6.45368687259943e-80,10.1560944880008,0.432,0,1.9390102208725e-75
"Plat",7.45799364962967e-77,5.09702933717726,0.679,0.015,2.24075419203123e-72
"Angptl2",7.6624943661053e-77,5.47599803614615,0.704,0.025,2.30219643229634e-72
"Ildr2",1.05113641028646e-75,3.48889325190934,0.877,0.175,3.15813934470568e-71
"St3gal6",1.35050042635334e-73,3.76310259829863,0.84,0.153,4.05757853097862e-69
"Fyn",1.76159908281072e-73,4.76075650290945,0.778,0.036,5.29272444430481e-69
"Mcc",5.7560627581313e-73,4.09267490629751,0.864,0.104,1.72940905568055e-68
"Npr3",2.01911594600053e-70,5.78719990719817,0.593,0.01,6.06643385975859e-66
"Kirrel",3.00569318760651e-70,5.35965661206471,0.642,0.016,9.03060518216377e-66
"Tmem108",4.45808734505468e-69,4.1465631849727,0.815,0.089,1.33943234282168e-64
"Alcam",4.69464545808485e-69,3.54899573777849,0.926,0.158,1.41050622788159e-64
"Atp8b1",2.74836520474177e-68,4.60464204518765,0.765,0.059,8.25746325764666e-64
"Gabra4",3.00426547879101e-67,10.7064283084668,0.37,0.001,9.0263156310276e-63
"Pde3a",5.64989044182884e-66,3.38367459819111,0.778,0.048,1.69750958324748e-61
"Nsf",1.33191059027096e-65,3.01008701760512,0.827,0.246,4.00172536846911e-61
"Tm4sf1",2.42793529592578e-65,4.94632248266889,0.667,0.024,7.294731596609e-61
"Sema5a",5.45081986425508e-65,2.62878033739682,0.963,0.435,1.63769882821544e-60
"Adcy1",7.74168831001272e-65,5.42060881215076,0.617,0.019,2.32599025274332e-60
"Mapt",2.14934993621406e-64,2.35768435598914,0.938,0.497,6.45772188335514e-60
"Flrt2",1.60525865675696e-63,5.36948819446265,0.605,0.017,4.8229996342263e-59
"Ntng2",2.85468401470375e-63,6.41583904669565,0.506,0.007,8.57689812217741e-59
"Elmo1",7.70625326928928e-63,4.48514128512234,0.704,0.035,2.31534379475796e-58
"Galnt10",4.62777998248331e-61,4.81907779620367,0.642,0.025,1.39041649573711e-56
"Cep85l",8.63041844495086e-61,3.25852262882368,0.79,0.185,2.59300922178549e-56
"Asic2",9.47830740827443e-61,6.68172583414292,0.469,0.006,2.84775746081605e-56
"H2-Q6",5.05802206371003e-60,6.01357645196013,0.519,0.01,1.51968272904168e-55
"Pag1",7.54406406477138e-60,3.90129824124953,0.765,0.089,2.26661404826056e-55
"Tmtc1",1.08161944165175e-59,4.14126362315312,0.778,0.066,3.24972561244268e-55
"Parva",1.88547842244507e-59,2.89112933188583,0.827,0.256,5.6649199202362e-55
"Lrrfip1",8.75533169735835e-59,3.78230506792608,0.778,0.115,2.63053940847132e-54
"Sulf1",1.37803550256332e-58,5.42175223061911,0.519,0.01,4.1403076674515e-54
"Myo1d",1.4384315259658e-58,2.50298295386988,0.926,0.382,4.32176751976425e-54
"Plekhg1",2.51543326238507e-58,3.54115015890866,0.864,0.123,7.55761923683593e-54
"Dync1i1",4.49082423229322e-58,7.2529423109949,0.395,0.002,1.3492681405925e-53
"St6gal1",1.44989940052183e-57,4.3360892298453,0.667,0.034,4.35622274886783e-53
"Plod2",1.56016793936236e-57,4.08069431168151,0.704,0.08,4.68752457381421e-53
"Sox5",6.51479097612425e-57,3.04915745040857,0.926,0.199,1.95736894877653e-52
"Myo1e",1.08965128434921e-56,2.84283947051716,0.84,0.27,3.27385728382721e-52
"Shroom3",1.70991334275219e-54,2.48582340300456,0.951,0.43,5.13743463829897e-50
"Glcci1",1.97315512655876e-54,3.10317551073078,0.753,0.202,5.92834457774579e-50
"St3gal1",3.00324481879615e-54,5.24812766272553,0.531,0.015,9.02324905807304e-50
"Shisa3",9.23864424166384e-54,10.2456754504963,0.296,0,2.7757506624079e-49
"Tmsb4x",3.88128014348932e-53,3.56207279761141,0.741,0.115,1.16613061911137e-48
"Colec12",2.57079077852697e-52,3.9862382861677,0.617,0.032,7.72394089408429e-48
"Tshz2",3.09876026272041e-52,2.40194260028633,0.778,0.085,9.31022520934348e-48
"Il6ra",3.62177893043448e-52,5.44865140675631,0.506,0.014,1.08816347964904e-47
"Usp13",4.39156040975031e-52,8.07305850624973,0.333,0.001,1.31944432510948e-47
"Hs3st3a1",2.61817021546064e-51,5.08321359847201,0.531,0.018,7.8662924123515e-47
"Cd59a",1.10459986263345e-49,4.56611128865454,0.593,0.04,3.31877028728219e-45
"Cd55",2.18483410142441e-47,4.69245579810537,0.519,0.032,6.56433405772965e-43
"Maml3",2.21736948538326e-46,2.71527319836394,0.889,0.233,6.66208661883401e-42
"Plekhh2",3.56522375355716e-45,4.27310334479809,0.506,0.021,1.07117147675625e-40
"Fam78b",4.97601133876117e-45,5.61768066396664,0.42,0.009,1.49504260673079e-40
"Kank1",5.43788455308116e-45,2.20328095389288,0.889,0.383,1.63381241397324e-40
"Ksr1",1.75314045067533e-44,4.25524604963797,0.543,0.028,5.26731048405403e-40
"Cttnbp2",3.101043448171e-44,2.59628933921606,0.852,0.243,9.31708504002976e-40
"Zfp521",6.48089539480423e-44,3.88607502168926,0.63,0.051,1.94718502136893e-39
"Itgb5",7.35109284793384e-44,2.98477030133615,0.753,0.175,2.20863584616172e-39
"Sparc",1.22771565981376e-43,3.9780017055838,0.58,0.038,3.68867169991043e-39
"Gulp1",2.55912389840734e-43,2.85842140191858,0.728,0.087,7.68888775276485e-39
"Rab3b",5.78961616893249e-43,6.85542549998768,0.333,0.004,1.73949017795577e-38
"Cald1",6.97322141949665e-43,2.77019633744486,0.667,0.068,2.09510437548777e-38
"Rhbdl3",1.05256071702382e-42,5.67268262345402,0.395,0.008,3.16241867429808e-38
"Arhgef18",1.49800836971701e-42,2.71988746519718,0.79,0.221,4.50076614681477e-38
"Golim4",3.9842567341967e-42,3.57757252928303,0.63,0.084,1.1970699357894e-37
"Xkr4",4.13062608242902e-42,6.62936906173425,0.358,0.008,1.2410466064658e-37
"Rbms3",5.55059783870592e-42,1.93631538118832,0.79,0.126,1.66767712063919e-37
"Npnt",1.39782647788771e-41,2.73925872932107,0.84,0.233,4.19976965281364e-37
"Gas1",1.56886419884232e-41,4.46601427185738,0.519,0.04,4.71365248542176e-37
"Col4a4",4.88237005770168e-41,1.65851782037919,0.975,0.715,1.46690808383647e-36
"Itm2b",8.64924753052746e-41,1.74762662726095,0.938,0.641,2.59866642054697e-36
"Amph",2.31255478387e-40,6.90973466067739,0.296,0.002,6.94807084813741e-36
"Nck2",4.14527971454817e-40,2.94093606955554,0.667,0.158,1.245449290236e-35
"Fchsd2",7.26273171465455e-39,2.26165076141375,0.852,0.351,2.18208774366796e-34
"Zfp423",9.22467321073857e-39,4.3130649769119,0.407,0.014,2.7715530661664e-34
"Crb2",9.70166218290503e-39,8.07065205526337,0.247,0.001,2.91486440285382e-34
"Arhgef26",3.04513508275578e-38,4.6408340142943,0.457,0.023,9.14910835613973e-34
"Prkd1",5.46519605672797e-38,1.49487785595827,0.778,0.147,1.64201815524392e-33
"Plagl1",1.19489337414553e-37,4.67399616761695,0.407,0.014,3.59005714262025e-33
"Samd12",2.33084967946018e-37,2.97841254930579,0.63,0.069,7.00303786193812e-33
"Pdpn",7.03844977135381e-37,6.57171410880178,0.296,0.004,2.11470223380325e-32
"Vtcn1",1.10557466056417e-36,7.38318841491515,0.272,0.002,3.32169906766504e-32
"Lrch1",2.11158399462972e-36,2.73960179708422,0.778,0.212,6.34425411186499e-32
"Luzp2",2.77508257028096e-36,6.58219794193773,0.309,0.005,8.33773558240915e-32
"Fzd2",3.03648408207053e-36,6.08218683477465,0.296,0.004,9.12311642458092e-32
"Rnf150",5.02699050896659e-36,3.35721672767014,0.494,0.034,1.51035929841901e-31
"Tspan2",5.39240581092864e-36,7.73686125150876,0.235,0.001,1.62014832589351e-31
"Itga3",6.15204223675987e-36,4.06867365701664,0.506,0.043,1.8483810900345e-31
"Lrrc49",6.76997781220366e-36,4.55964686120053,0.42,0.018,2.03403983367659e-31
"Metrnl",1.2862860967408e-35,4.14606111846848,0.469,0.041,3.86464657765774e-31
"Scd2",5.9204746361677e-35,4.19470782887753,0.469,0.029,1.77880660443658e-30
"Cd81",1.57538883038429e-34,2.81896551862332,0.704,0.17,4.73325574088961e-30
"Efnb1",3.11947205858425e-34,4.60182739067533,0.407,0.029,9.37245380001637e-30
"Svep1",5.28999332246029e-34,2.80843703998397,0.457,0.034,1.58937849373319e-29
"9530026P05Rik",7.32226859942754e-34,1.94168936693815,0.926,0.408,2.199975600698e-29
"Cd2ap",7.85118305044417e-34,2.01010948878519,0.877,0.422,2.35888794750595e-29
"Med12l",1.50548294350326e-33,3.85084379011455,0.506,0.043,4.52322350375555e-29
"Ripor1",2.58206987179077e-33,4.02564274260783,0.469,0.036,7.75782892979538e-29
"Zdhhc14",2.74079635994039e-33,3.25575945522331,0.617,0.095,8.23472266344092e-29
"9130410C08Rik",3.43033649090201e-33,8.70502693145411,0.198,0,1.03064459869151e-28
"Lingo2",3.63354263396309e-33,7.40873212393537,0.222,0.005,1.09169788437421e-28
